report,sym,cohort,key,px_corr,gross_share,role,c_AssetMgr,c_LevFund,c_Other,c_NonRep,c_Dealer,c_Swap,c_MM,c_Prod
disagg,SI,MM,managed_money,0.448,0.151,SPEC,,,-0.622,-0.035,,-0.823,,-0.801
disagg,SI,Other,other_reportable,-0.313,0.129,COUNTERPARTY,,,,-0.026,,0.302,-0.622,0.341
disagg,SI,NonRep,nonreportable,0.236,0.202,RETAIL,,,-0.026,,,-0.216,-0.035,-0.244
tff,BTC,Dealer,dealer,0.057,0.239,NEUTRAL,0.001,-0.312,-0.455,-0.032,,,,
tff,BTC,AssetMgr,asset_manager,0.341,0.198,SPEC,,-0.338,-0.415,0.035,0.001,,,
tff,BTC,LevFund,leveraged,-0.337,0.454,COUNTERPARTY,-0.338,,-0.345,-0.316,-0.312,,,
tff,BTC,Other,other_reportable,-0.065,0.053,NEUTRAL,-0.415,-0.345,,-0.076,-0.455,,,
tff,BTC,NonRep,nonreportable,0.253,0.057,RETAIL,0.035,-0.316,-0.076,,-0.032,,,
tff,ETH,Dealer,dealer,0.388,0.537,SPEC,0.467,-0.901,-0.173,-0.113,,,,
tff,ETH,AssetMgr,asset_manager,0.472,0.091,SPEC,,-0.637,-0.236,0.061,0.467,,,
tff,ETH,LevFund,leveraged,-0.434,0.324,COUNTERPARTY,-0.637,,-0.087,-0.083,-0.901,,,
tff,ETH,Other,other_reportable,-0.26,0.017,inert,-0.236,-0.087,,-0.15,-0.173,,,
tff,ETH,NonRep,nonreportable,0.233,0.03,RETAIL,0.061,-0.083,-0.15,,-0.113,,,
tff,6A,Dealer,dealer,-0.364,0.293,COUNTERPARTY,-0.52,-0.746,-0.148,-0.622,,,,
tff,6A,AssetMgr,asset_manager,0.162,0.342,SPEC,,-0.075,0.037,0.305,-0.52,,,
tff,6A,LevFund,leveraged,0.25,0.214,SPEC,-0.075,,-0.085,0.258,-0.746,,,
tff,6A,Other,other_reportable,-0.039,0.015,inert,0.037,-0.085,,-0.016,-0.148,,,
tff,6A,NonRep,nonreportable,0.385,0.136,RETAIL,0.305,0.258,-0.016,,-0.622,,,
tff,6B,Dealer,dealer,-0.409,0.316,COUNTERPARTY,-0.616,-0.708,-0.032,-0.623,,,,
tff,6B,AssetMgr,asset_manager,0.268,0.344,SPEC,,-0.023,0.024,0.329,-0.616,,,
tff,6B,LevFund,leveraged,0.222,0.202,SPEC,-0.023,,-0.228,0.274,-0.708,,,
tff,6B,Other,other_reportable,-0.017,0.003,inert,0.024,-0.228,,-0.108,-0.032,,,
tff,6B,NonRep,nonreportable,0.413,0.135,RETAIL,0.329,0.274,-0.108,,-0.623,,,
tff,6C,Dealer,dealer,-0.284,0.321,COUNTERPARTY,-0.658,-0.663,0.01,-0.53,,,,
tff,6C,AssetMgr,asset_manager,0.183,0.311,SPEC,,0.021,-0.06,0.241,-0.658,,,
tff,6C,LevFund,leveraged,0.175,0.215,SPEC,0.021,,-0.192,0.076,-0.663,,,
tff,6C,Other,other_reportable,-0.117,0.031,inert,-0.06,-0.192,,-0.092,0.01,,,
tff,6C,NonRep,nonreportable,0.239,0.121,RETAIL,0.241,0.076,-0.092,,-0.53,,,
tff,6S,Dealer,dealer,-0.399,0.373,COUNTERPARTY,-0.292,-0.832,-0.033,-0.613,,,,
tff,6S,AssetMgr,asset_manager,0.211,0.305,SPEC,,-0.067,-0.057,0.196,-0.292,,,
tff,6S,LevFund,leveraged,0.158,0.114,SPEC,-0.067,,-0.059,0.177,-0.832,,,
tff,6S,Other,other_reportable,-0.101,0.011,inert,-0.057,-0.059,,-0.108,-0.033,,,
tff,6S,NonRep,nonreportable,0.534,0.196,RETAIL,0.196,0.177,-0.108,,-0.613,,,
tff,6E,Dealer,dealer,-0.424,0.308,COUNTERPARTY,-0.613,-0.728,-0.207,-0.502,,,,
tff,6E,AssetMgr,asset_manager,0.268,0.431,SPEC,,0.059,-0.011,0.169,-0.613,,,
tff,6E,LevFund,leveraged,0.299,0.137,SPEC,0.059,,-0.104,0.273,-0.728,,,
tff,6E,Other,other_reportable,0.023,0.025,inert,-0.011,-0.104,,-0.094,-0.207,,,
tff,6E,NonRep,nonreportable,0.296,0.099,RETAIL,0.169,0.273,-0.094,,-0.502,,,
