report,sym,cohort,key,full_role,n_windows,agree_frac,window_roles,counterparty_set_stability,spec_set_stability,stable_enough
tff,6B,LevFund,leveraged,SPEC,70,0.5,SPEC:35 NEUTRAL:28 COUNTERPARTY:7,0.743,0.257,True
tff,6B,Other,other_reportable,inert,70,0.586,inert:41 NEUTRAL:21 COUNTERPARTY:7 SPEC:1,0.743,0.257,True
tff,6B,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.743,0.257,True
tff,6C,Dealer,dealer,COUNTERPARTY,70,0.886,COUNTERPARTY:62 NEUTRAL:8,0.486,0.0,False
tff,6C,AssetMgr,asset_manager,SPEC,70,0.643,SPEC:45 NEUTRAL:17 COUNTERPARTY:8,0.486,0.0,False
tff,6C,LevFund,leveraged,SPEC,70,0.357,NEUTRAL:28 SPEC:25 COUNTERPARTY:17,0.486,0.0,False
tff,6C,Other,other_reportable,inert,70,0.414,NEUTRAL:30 inert:29 COUNTERPARTY:11,0.486,0.0,False
tff,6C,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.486,0.0,False
tff,6E,Dealer,dealer,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.971,0.371,True
tff,6E,AssetMgr,asset_manager,SPEC,70,0.829,SPEC:58 NEUTRAL:12,0.971,0.371,True
tff,6E,LevFund,leveraged,SPEC,70,0.629,SPEC:44 NEUTRAL:26,0.971,0.371,True
tff,6E,Other,other_reportable,inert,70,0.529,inert:37 NEUTRAL:22 SPEC:9 COUNTERPARTY:2,0.971,0.371,True
tff,6E,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.971,0.371,True
tff,6J,Dealer,dealer,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.943,0.343,True
tff,6J,AssetMgr,asset_manager,SPEC,70,0.786,SPEC:55 NEUTRAL:15,0.943,0.343,True
tff,6J,LevFund,leveraged,SPEC,70,0.714,SPEC:50 NEUTRAL:20,0.943,0.343,True
tff,6J,Other,other_reportable,NEUTRAL,70,0.214,inert:40 NEUTRAL:15 SPEC:11 COUNTERPARTY:4,0.943,0.343,True
tff,6J,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.943,0.343,True
tff,6M,Dealer,dealer,COUNTERPARTY,70,0.943,COUNTERPARTY:66 NEUTRAL:4,0.714,0.586,True
tff,6M,AssetMgr,asset_manager,NEUTRAL,70,0.414,NEUTRAL:29 SPEC:26 COUNTERPARTY:14 inert:1,0.714,0.586,True
tff,6M,LevFund,leveraged,SPEC,70,0.729,SPEC:51 NEUTRAL:19,0.714,0.586,True
tff,6M,Other,other_reportable,NEUTRAL,70,0.357,inert:31 NEUTRAL:25 SPEC:12 COUNTERPARTY:2,0.714,0.586,True
tff,6M,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.714,0.586,True
tff,6N,Dealer,dealer,COUNTERPARTY,70,0.943,COUNTERPARTY:66 NEUTRAL:4,0.771,0.443,True
